document_id,title,business_class,sensitivity,allowed_roles,owner,version,source_uri,dataset,license,sha256
ibm10713449,IBM Security Bulletin: API Connect Developer Portal is affected by multiple PHP vulnerabilities - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10713449.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,56cf8b7ad98a4e39b15dcc334a0a9e27986eb9d0a5604db05eff9cd85401adb1
ibm10713463,IBM AppScan Open Mic: What's new in AppScan version 9.0.3.9 - REPLAY AVAILABLE - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10713463.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,3ee89090386d2b90a53d547314a458582b6338d04ad72cf6c9a0b15e873ba3f2
ibm10713539,IBM Security Bulletin: Multiple vulnerabilities in IBM Java Runtime affect IBM Security SiteProtector System - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10713539.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,ca988124d6184984c3cb2c6ba4653809afd87748fa7db160a0b04978b091b94b
ibm10713695,IBM Security Bulletin: IBM Maximo Asset Management is affected by a cross-site scripting vulnerability. (CVE-2018-1554) - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10713695.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,a33f1ca0cf6fa44c389b48ce8890bf7b26706174a0d1179d676904799e58f72d
ibm10715649,IBM Security Bulletin: Multiple Vulnerabilities found in products bundled with IBM Security Access Manager for Enterprise Single-Sign On - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10715649.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,3eb21c4c194e02cda46a80a3c04e99e14e01e5231fee15f41820902f251f9a5e
ibm10715651,IBM Installing the 5.5.0 or 5.5.1 version of the Content Platform Engine (CPE) .NET Client - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10715651.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,67dc43d83feaf3467520aa4bb8f9c0c5e5d39a846050dcfda5be5b70d5b6472a
ibm10715781,IBM API Connect V5.0.8.4 is available - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10715781.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,59fc68562ed366852b73b964e35195ef49f4f5c9f92f035f1fff61c176ad21f6
ibm10715845,IBM Content Navigator 3.0.4 Recycle Bin Tech Preview - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10715845.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,dc6bacdc491a7219ef6ecf6b537c89f86af6a4f96e20653fdc4c64531827e275
ibm10716029,IBM Security Bulletin: Multiple vulnerabilities affect IBM Rational Design Manager products - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10716029.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,fce48cb71e3714f4a4ecd40b3acdd4a05b0a25ec928597adcd2a7997930361de
ibm10716213,IBM Security Bulletin:  Multiple vulnerabilities in IBM Java Runtime affect Rational Asset Analyzer (RAA). - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10716213.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,dbc16cf8a5b0e05f335ff4e0945759b78b1de6e574e138be1954d1e582e19c27
ibm10716377,IBM Security Bulletin: IBM QRadar Network Security is affected by GNU C library (glibc) vulnerabilities - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10716377.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,94833407e46290bc733c229a465f9ccf0b591d2884c49281064030c9c1dcee2b
ibm10716463,IBM PDA-OS upgrades for INPDS systems - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10716463.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,523715fed676b5bf773e1d22d2d0a9e5c16c761f2d1a7c06e1d4af3921427485
ibm10716573,"IBM Security Bulletin: A security vulnerability has been identified in IBM WebSphere Application Server, which is shipped with, or a required product for, IBM Tivoli Network Manager IP Edition (CVE-2015-0899). - United States",security-support,restricted,restricted,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10716573.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,1270b02342e912cbffecc7d9c0ca8bef868acfd12131241f030adb2de9f892e8
ibm10716655,IBM Changing DB2 administrator password on LDAP configured servers - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10716655.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,6de55156fba3904ad63a68039434ffb773ff43c1f3a94f13d973b131fa877126
ibm10716661,IBM Replay available: What is new in ISIM versions 6.0.0.20 and 7.0.1.10 - 12 July 2018 [Presentation is attached] - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10716661.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,df59cb97b861018aea8599c7aa7c9855f97598ce9b9889611b5dfb034194b903
ibm10716669,"IBM® Datacap Version 9.1.4, Interim Fix 001 readme file - United States",engineering-support,internal,engineering,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10716669.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,9ec9c692f67040d3c8ff432349d9c595d696b0a97add1d5f598334ad52782d01
ibm10716807,IBM TWSProfile can not be fully started up and generates javacores after WAS security disabled - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10716807.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,a58fd3f33afbbd4a481eb99d44107f43f1b2a1e4e93985783bab2b23fa1ae0b7
ibm10716829,"IBM DWC upgrading failed with error ""HA: Unable to get the lock"" - United States",engineering-support,internal,engineering,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10716829.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,865f5dc298e13d6517076391f436772aa758b9f9549f8b3e0e799cd929d816e9
ibm10717023,IBM Security Bulletin: Security Vulnerability in Apache Commons FileUpload Affects IBM Sterling B2B Integrator (CVE-2016-1000031) - United States,security-support,restricted,restricted,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10717023.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,c74ce2a95b8b003438bc7197c7c8197fa01d467eaefabe078296da0c57df07e1
ibm10717031,"IBM Security Bulletin: IBM Sterling B2B Integrator Standard Edition is Vulnerable to Cross-site Scripting (CVE-2018-1563, CVE-2018-1513) - United States",security-support,restricted,restricted,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10717031.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,38ad6383de939a74abdc2429353514155b7b36898639d4b1f467acbcebef1557
ibm10717197,IBM Instructions for installing IBM InfoSphere Information Server 11.7.0.1 Service Pack 1 - United States,engineering-support,internal,engineering,techqa-proxy-owner,techqa-p2-2026-07-18,hf://nvidia/TechQA-RAG-Eval/corpus/ibm10717197.txt,nvidia/TechQA-RAG-Eval,Apache-2.0,7443e21c22bc748c209051837376199252c4f97e1c48f252b83bd02ba037c939
